Id,商业得分,休闲娱乐得分,文化艺术得分,创业公司得分,科研机构得分
845,1,0,0,0,0
437,2808,57,206,9,2534
438,2989,186,230,110,2461
509,2148,67,81,118,1880
141,2315,1036,1032,246,0
508,1659,65,65,16,1512
200,1703,3,234,1,1465
474,1841,191,191,115,1342
441,1546,0,0,120,1425
473,1549,95,112,10,1329
407,1439,37,59,0,1341
406,1554,24,205,17,1307
475,1560,113,113,78,1254
436,1680,203,385,76,1014
340,1795,292,695,61,745
440,1223,0,0,42,1179
356,1570,331,1034,116,88
142,1599,681,718,198,0
377,1364,143,314,0,906
357,1276,326,915,21,13
121,1382,644,612,125,0
405,1408,238,418,12,739
435,1468,166,451,292,557
404,1294,234,398,15,646
176,1051,39,42,114,855
476,914,0,0,43,870
472,1214,132,224,130,727
319,895,0,36,0,858
315,1253,111,677,244,219
378,1056,57,209,0,789
439,1110,135,135,72,766
346,885,0,45,0,839
409,912,26,53,0,832
380,972,0,169,0,803
318,1002,136,1,72,792
344,1253,189,346,137,579
327,1194,18,600,286,288
341,1218,193,398,71,555
417,1020,211,747,0,61
347,807,0,0,0,807
510,879,2,6,70,800
482,1129,140,566,0,421
221,835,1,51,0,782
412,1021,50,299,0,672
312,1106,138,426,0,541
199,907,66,95,0,745
507,756,0,0,0,754
195,872,0,88,54,729
410,753,0,6,1,744
313,1060,177,358,0,524
379,820,0,101,0,718
201,840,0,132,0,708
285,985,14,506,388,74
390,872,237,635,0,0
373,1107,219,384,109,394
389,873,241,631,0,0
320,775,1,82,0,691
127,699,0,0,0,699
345,871,65,174,1,629
348,657,0,0,0,657
418,886,170,554,11,150
343,987,73,376,165,371
471,950,38,411,348,152
403,883,107,523,23,229
316,1029,268,387,218,154
544,970,146,273,112,437
381,697,0,97,0,600
321,782,50,117,42,571
477,708,0,0,122,585
291,956,146,288,141,380
672,820,377,391,0,51
370,809,128,55,107,517
369,746,60,12,128,544
226,739,0,242,0,496
258,744,0,286,458,0
128,556,0,0,0,556
122,782,348,354,79,0
295,790,96,451,96,146
290,693,36,164,21,470
376,660,47,132,0,480
1030,721,144,432,144,0
646,595,42,0,42,511
455,747,120,343,0,283
339,792,66,260,139,326
147,510,0,0,0,510
434,787,123,350,174,139
194,582,0,0,110,472
317,779,305,126,114,232
456,679,227,376,0,76
448,644,134,432,14,63
371,674,28,259,36,351
570,722,113,372,113,121
411,589,22,121,0,445
492,622,242,378,0,0
863,623,424,113,85,0
220,475,0,0,0,475
372,608,89,84,1,433
864,628,410,137,79,0
336,527,0,0,64,462
314,586,76,436,8,64
516,685,87,322,54,221
543,589,77,88,12,410
252,645,282,143,0,218
647,435,0,0,0,434
328,611,17,345,122,126
225,552,0,109,53,389
337,544,7,32,112,392
283,595,72,185,0,337
284,543,27,400,40,73
505,582,0,215,38,328
408,489,33,39,0,415
569,652,120,297,120,113
567,696,133,133,219,209
386,600,129,322,15,132
288,574,181,0,73,319
443,601,141,171,0,287
416,523,180,343,0,0
222,582,126,148,0,308
148,406,0,0,0,406
338,597,0,137,275,184
294,591,124,312,28,126
536,396,0,0,0,396
855,531,342,77,111,0
671,524,258,265,0,0
540,598,66,224,66,241
270,631,250,122,125,132
253,559,178,89,3,287
809,387,0,387,0,0
349,388,0,3,0,384
856,511,329,76,104,0
287,575,258,43,114,159
479,474,51,73,0,349
177,386,0,0,11,374
175,596,144,144,70,236
286,548,77,128,283,57
309,474,0,126,24,323
289,432,5,76,0,349
155,591,127,127,114,221
298,514,2,261,97,152
259,432,0,41,330,60
541,533,61,228,61,182
481,484,34,214,0,235
734,510,130,243,0,136
413,429,0,125,0,303
843,437,145,291,0,0
506,457,10,144,20,282
308,389,0,66,0,322
625,496,149,0,145,201
442,484,91,101,34,257
310,488,0,107,186,195
282,444,4,153,21,264
324,454,11,257,146,37
892,478,132,214,132,0
684,434,256,149,0,27
547,403,58,49,0,296
491,443,131,252,0,59
170,396,0,0,281,114
279,454,79,156,0,218
545,488,84,127,65,211
539,325,0,1,15,308
504,328,0,20,0,307
292,486,74,205,91,114
513,370,0,85,0,285
354,486,148,148,148,42
1029,415,83,249,83,0
402,504,110,166,123,103
749,446,148,148,0,148
197,308,0,16,0,292
470,437,11,193,139,93
374,461,35,162,122,141
501,291,0,0,0,291
538,401,12,12,176,200
43,289,0,0,0,289
240,455,193,110,91,59
223,359,60,33,0,265
573,456,162,137,68,88
489,356,0,241,0,115
741,276,0,0,0,276
422,357,0,202,0,155
449,439,49,142,128,118
163,386,159,173,54,0
213,269,0,0,0,269
271,433,169,68,90,105
387,441,120,148,64,108
454,349,0,209,0,139
483,373,68,211,0,92
891,383,95,193,95,0
765,398,132,132,132,0
12,261,0,0,0,261
918,390,130,130,130,0
152,320,0,234,0,85
665,256,0,0,0,256
583,269,0,255,13,0
311,375,1,128,78,166
140,352,172,149,30,0
196,328,0,132,0,195
174,353,78,78,0,197
752,404,129,130,45,99
198,291,24,24,0,241
704,247,0,0,0,247
322,328,13,83,17,214
589,333,202,100,29,1
42,245,0,0,0,245
958,242,0,0,0,242
512,322,2,143,0,175
